_respondent_id,Q1_Age,Q2_Occupation,Q3_Ethnicity,Q4_Income,Q5_Wardrobe_Size,Q6_Shopping_Frequency,Q7_Current_Brands,Q8_Shopping_Channels,Q9_Spend_Per_Kurti,Q10_Purchase_Triggers,Q11_Style_Preference,Q12_Fabric_Preference,Q13_Color_Preference,Q14_Fit_Preference,Q15_Print_Preference,Q16_Sleeve_Preference,Q16_Neckline_Preference,Q16_Length_Preference,Q17_Bottom_Pairing,Q18_Occasions,Q19_Pack_Interest,Q20_Bundle_Budget,Q21_Discount_Preference,Q22_Fashion_Identity,Q23_Pain_Points,Q24_Return_Anxiety,Q25_Purchase_Intent,_persona
R0036,28-34,Working Professional,South Asian,"12,001-20,000 AED",More than 20,Once a month,Biba; W for Woman,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores)",Above 250 AED,Sale or discount offer; Need for daily/work wardrobe refresh; Gift for someone,Kaftan-style,Pure Cotton; Rayon; Muslin,"Earthy tones (mustard, rust, olive, brown)",Flared/breezy fit,Geometric/abstract,Full sleeves; 3/4th sleeves,Round neck,Just above knee,Leggings/jeggings; Cigarette/straight pants,,None - I prefer buying single pieces,Above 250 AED,Combo price lower than individual total; I don't need discounts - I buy if I like the product,I prioritize comfort and practicality above everything,Sizing is inconsistent across brands; Fabric quality doesn't match product photos; Limited trendy options for short kurtis,Sometimes - depends on the brand/platform,Probably would not,minimalist
R0037,23-27,Homemaker,Southeast Asian,"7,001-12,000 AED",More than 20,2-3 times a month,Meesho/unbranded sellers,"Online marketplaces (Amazon, Noon, Namshi)",101-150 AED,Upcoming festival/occasion; Need for daily/work wardrobe refresh,Straight-cut; Shirt-style/collar,Pure Cotton; Rayon,"Neutrals (black, white, beige, grey)",Regular/comfort fit,Embroidered/thread work,3/4th sleeves; Short/half sleeves,Mandarin/band collar; Boat neck,Mid-thigh; Knee length,Jeans/denim; Cigarette/straight pants,Office/workplace; Casual outings/errands; Weekend/lounging,Campus Essentials (3 daily-wear cotton kurtis),121-180 AED,Free delivery; First-order discount,I prioritize comfort and practicality above everything,Sizing is inconsistent across brands; Fabric quality doesn't match product photos,"Yes, frequently - it's a major concern",Might or might not,professional
R0038,18-22,Other,Southeast Asian,"7,001-12,000 AED",6-12,Weekly,Instagram/WhatsApp small brands,Physical stores/malls in UAE,30-60 AED,Need for daily/work wardrobe refresh; Gift for someone,A-line; Peplum,Pure Cotton; Rayon,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey)",Relaxed/loose fit,Florals,Short/half sleeves; Sleeveless,Round neck; Keyhole/cut-out,Mid-thigh,Leggings/jeggings; Skirts,Casual outings/errands; Family gatherings/dinners; Weekend/lounging,"Vibe Check Drop (1 trendy statement piece, monthly limited)",181-250 AED,,I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands; Too expensive for the quality offered,Sometimes - depends on the brand/platform,Definitely would not,campus
R0039,18-22,Student (Postgraduate),South Asian,"Under 3,000 AED",13-20,2-3 times a month,Libas; W for Woman; Anouk (Myntra),"Online marketplaces (Amazon, Noon, Namshi)",101-150 AED,Saw something trending on social media; New season or collection drop; Impulse/mood shopping,Straight-cut; Shirt-style/collar; Peplum,Cotton-Linen blend; Rayon; Georgette/Chiffon,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Slim/body-hugging fit,Geometric/abstract; Mirror work/sequins,Short/half sleeves,Shirt collar,Hip length (above mid-thigh),Jeans/denim; Palazzo pants,Family gatherings/dinners,"Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",80-120 AED,Free delivery; Combo price lower than individual total; First-order discount,I follow trends closely and love experimenting with new styles,Poor delivery experience to UAE (slow/damaged),Never - I'm confident buying online,Might or might not,trend
R0040,23-27,Student (Postgraduate),South Asian,"12,001-20,000 AED",6-12,Once in 2-3 months,W for Woman,Buy from India (trips or family shipments),101-150 AED,New season or collection drop,Asymmetric/high-low hem,Pure Cotton; Rayon,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Neutrals (black, white, beige, grey)",Flared/breezy fit,Geometric/abstract; Solid/plain; Stripes/checks,Full sleeves; 3/4th sleeves,Boat neck,Hip length (above mid-thigh),Jeans/denim; Palazzo pants,Office/workplace,None - I prefer buying single pieces,80-120 AED,"Flat percentage off (e.g., 20% off); Referral rewards",I have a set style - I know what works and stick to it,Sizing is inconsistent across brands; Limited trendy options for short kurtis; Can't find good curated sets/bundles; No major frustrations,Never - I'm confident buying online,Probably would not,professional
R0041,18-22,Student (School/Undergraduate),African,No personal income,1-5,Once a month,Biba; Meesho/unbranded sellers; Local UAE stores/boutiques,Instagram/Social media shops,Above 250 AED,Upcoming festival/occasion; Sale or discount offer; Saw something trending on social media,A-line,Pure Cotton; Rayon,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange)",Slim/body-hugging fit,Digital/contemporary prints,Short/half sleeves,Keyhole/cut-out; V-neck; Shirt collar,Mid-thigh,Jeans/denim; Palazzo pants; Cigarette/straight pants,Daily college/university wear,"Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",80-120 AED,Buy 2 Get 1 Free; Referral rewards,I prioritize comfort and practicality above everything,Sizing is inconsistent across brands; Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns,Rarely - I'm usually okay with online purchases,Probably would buy,campus
R0042,18-22,Working Professional,South Asian,"Above 20,000 AED",6-12,Weekly,Libas; Local UAE stores/boutiques,Physical stores/malls in UAE,101-150 AED,Upcoming festival/occasion; Gift for someone,A-line; Anarkali (short flared),Rayon; Silk/Chanderi,"Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Florals; Geometric/abstract; Stripes/checks; Embroidered/thread work,Bell/statement sleeves,Round neck,,Leggings/jeggings; Sharara,Casual outings/errands; Family gatherings/dinners; Parties/date nights,None - I prefer buying single pieces,181-250 AED,Buy 2 Get 1 Free; Free delivery; First-order discount,I only dress up for occasions - daily wear is minimal effort,Sizing is inconsistent across brands,Never - I'm confident buying online,Might or might not,festive
R0043,18-22,Student (School/Undergraduate),Southeast Asian,No personal income,6-12,Once a month,W for Woman,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Sale or discount offer; Need for daily/work wardrobe refresh; Impulse/mood shopping,A-line; Asymmetric/high-low hem,Pure Cotton; Rayon,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Flared/breezy fit,Florals,Full sleeves; Sleeveless; Bell/statement sleeves,V-neck,Mid-thigh,Jeans/denim; Palazzo pants; Skirts,Casual outings/errands; Weekend/lounging,Campus Essentials (3 daily-wear cotton kurtis),121-180 AED,"Referral rewards; Combo price lower than individual total; Flat percentage off (e.g., 20% off)",I have a set style - I know what works and stick to it,Fabric quality doesn't match product photos; Too expensive for the quality offered,Rarely - I'm usually okay with online purchases,Probably would not,campus
R0044,23-27,Self-Employed/Freelancer,South Asian,"7,001-12,000 AED",1-5,Only during festivals/occasions,I don't buy kurtis currently,Instagram/Social media shops,Under 30 AED,Upcoming festival/occasion; Sale or discount offer,Kaftan-style,No preference,"Bright/Pop colors (red, yellow, hot pink, orange)",Flared/breezy fit,Stripes/checks,Full sleeves,Round neck,Knee length,Leggings/jeggings,I don't wear kurtis currently,None - I prefer buying single pieces,Above 250 AED,Buy 2 Get 1 Free,I only dress up for occasions - daily wear is minimal effort,No major frustrations,Never - I'm confident buying online,Might or might not,non_customer
R0045,23-27,Working Professional,South Asian,,6-12,Once a month,Libas; W for Woman,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores)",30-60 AED,Saw something trending on social media; Need for daily/work wardrobe refresh; New season or collection drop,Straight-cut; Kaftan-style,Cotton-Linen blend; Rayon,"Earthy tones (mustard, rust, olive, brown); Neutrals (black, white, beige, grey); Multi-color/prints",Relaxed/loose fit,Geometric/abstract; Solid/plain; Embroidered/thread work; Digital/contemporary prints,Full sleeves; 3/4th sleeves,Mandarin/band collar,Hip length (above mid-thigh),,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners",9-to-5 Edit (3 workwear kurtis); None - I prefer buying single pieces,121-180 AED,"Flat percentage off (e.g., 20% off); Free delivery",I follow trends closely and love experimenting with new styles,Poor delivery experience to UAE (slow/damaged); Can't find good curated sets/bundles,Never - I'm confident buying online,Probably would buy,professional
R0046,23-27,Working Professional,Arab/Middle Eastern,No personal income,1-5,2-3 times a month,Anouk (Myntra); Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi)",61-100 AED,Saw something trending on social media,A-line; Peplum,Pure Cotton,"Pastels (peach, lavender, mint, blush)",Slim/body-hugging fit,Florals; Geometric/abstract; Embroidered/thread work; Digital/contemporary prints,Bell/statement sleeves,V-neck; Shirt collar,Mid-thigh; Just above knee,Palazzo pants; Cigarette/straight pants,Family gatherings/dinners,"Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",80-120 AED,"Flat percentage off (e.g., 20% off); Free delivery; First-order discount",I follow trends closely and love experimenting with new styles,,Never - I'm confident buying online,Definitely would buy,trend
R0047,23-27,Working Professional,South Asian,"12,001-20,000 AED",1-5,2-3 times a month,Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi)",61-100 AED,New season or collection drop,Shirt-style/collar; Peplum,Rayon,"Neutrals (black, white, beige, grey)",Slim/body-hugging fit,Florals; Geometric/abstract; Embroidered/thread work,Full sleeves,Round neck,Knee length,Jeans/denim; Cigarette/straight pants,Office/workplace,"9-to-5 Edit (3 workwear kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,Combo price lower than individual total; I don't need discounts - I buy if I like the product,I follow trends closely and love experimenting with new styles,Limited trendy options for short kurtis; Too expensive for the quality offered,Sometimes - depends on the brand/platform,Might or might not,professional
R0048,23-27,Self-Employed/Freelancer,South Asian,"3,000-7,000 AED",13-20,Once in 2-3 months,Anouk (Myntra),Brand websites (D2C online stores); Buy from India (trips or family shipments),Under 30 AED,Upcoming festival/occasion,Straight-cut; A-line; Kaftan-style,Silk/Chanderi; No preference,"Jewel tones (emerald, maroon, royal blue, deep purple)",Flared/breezy fit,Florals; Embroidered/thread work,Full sleeves,Boat neck,Knee length,Palazzo pants; Dhoti pants/tulip pants; Sharara,"Office/workplace; Casual outings/errands; Festivals (Diwali, Eid, etc.); Family gatherings/dinners",Festive Glow (2 embroidered/silk kurtis),80-120 AED,,I only dress up for occasions - daily wear is minimal effort,Fabric quality doesn't match product photos,Never - I'm confident buying online,Probably would buy,festive
R0049,28-34,Self-Employed/Freelancer,Southeast Asian,"7,001-12,000 AED",13-20,Once in 2-3 months,W for Woman; Anouk (Myntra),Physical stores/malls in UAE; WhatsApp-based sellers,151-250 AED,Upcoming festival/occasion,Asymmetric/high-low hem; Crop kurti,Georgette/Chiffon; Silk/Chanderi; Muslin,Multi-color/prints,Relaxed/loose fit,Solid/plain,Full sleeves; 3/4th sleeves,Boat neck; Keyhole/cut-out,Mid-thigh,Cigarette/straight pants; Dhoti pants/tulip pants,Parties/date nights,,80-120 AED,Combo price lower than individual total; I don't need discounts - I buy if I like the product,I follow trends closely and love experimenting with new styles,Poor delivery experience to UAE (slow/damaged); Can't find good curated sets/bundles,Sometimes - depends on the brand/platform,Probably would not,festive
R0050,Under 18,Student (School/Undergraduate),Arab/Middle Eastern,"3,000-7,000 AED",6-12,Rarely/Never,Anouk (Myntra); Buy during India visits; Biba,Instagram/Social media shops,30-60 AED,Sale or discount offer; Gift for someone,Crop kurti,Pure Cotton; Rayon; Silk/Chanderi,"Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Stripes/checks,Sleeveless,Round neck; Keyhole/cut-out,Mid-thigh,Leggings/jeggings,"Office/workplace; Casual outings/errands; Festivals (Diwali, Eid, etc.)",Campus Essentials (3 daily-wear cotton kurtis),181-250 AED,"Flat percentage off (e.g., 20% off); Combo price lower than individual total; First-order discount",I love mixing Indian and Western styles to create my own look,Limited trendy options for short kurtis; Too expensive for the quality offered; No major frustrations,Sometimes - depends on the brand/platform,Definitely would buy,campus
R0051,35 and above,Student (Postgraduate),Western/European,"7,001-12,000 AED",1-5,Rarely/Never,Biba,Physical stores/malls in UAE,Under 30 AED,Need for daily/work wardrobe refresh,Shirt-style/collar,No preference,"Neutrals (black, white, beige, grey)",Regular/comfort fit,Solid/plain,Full sleeves; Short/half sleeves; Sleeveless,Mandarin/band collar,Just above knee,Palazzo pants,I don't wear kurtis currently,None - I prefer buying single pieces,121-180 AED,"Flat percentage off (e.g., 20% off)",I only dress up for occasions - daily wear is minimal effort,No major frustrations,"Yes, frequently - it's a major concern",Definitely would not,non_customer
R0052,23-27,Self-Employed/Freelancer,South Asian,"Under 3,000 AED",13-20,Once in 2-3 months,Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Upcoming festival/occasion; Impulse/mood shopping,Anarkali (short flared); Asymmetric/high-low hem; Kaftan-style,Pure Cotton; Georgette/Chiffon; Muslin; No preference,Multi-color/prints,Slim/body-hugging fit,Digital/contemporary prints,Short/half sleeves; Bell/statement sleeves,Shirt collar; Keyhole/cut-out,Knee length,Palazzo pants; Dhoti pants/tulip pants,Daily college/university wear; Casual outings/errands,"Vibe Check Drop (1 trendy statement piece, monthly limited)",Under 80 AED,"Flat percentage off (e.g., 20% off); Free delivery",I love mixing Indian and Western styles to create my own look,Sizing is inconsistent across brands; No major frustrations,Never - I'm confident buying online,Might or might not,trend
R0053,18-22,Working Professional,Western/European,"3,000-7,000 AED",None,Rarely/Never,I don't buy kurtis currently,WhatsApp-based sellers,,Upcoming festival/occasion,Kaftan-style,No preference,"Neutrals (black, white, beige, grey)",Slim/body-hugging fit,Block print/Jaipur print,Bell/statement sleeves,Mandarin/band collar,Just above knee; Knee length,Sharara,I don't wear kurtis currently,None - I prefer buying single pieces,,Combo price lower than individual total,I only dress up for occasions - daily wear is minimal effort,No major frustrations,,Definitely would not,non_customer
